red,0,70,50,10,255,255
blue,90,100,0,110,255,255
green,35,150,50,65,255,255
yellow,25,100,100,35,255,255
skin,0,30,60,20,150,255
orange,15,150,0,25,255,255
back,0,0,0,250,255,30
white,0,0,255,0,0,255
pink,160,150,0,170,255,255
cyan,85,150,0,95,255,255
dark blue,155,150,0,125,255,255
